# dictionary form, root, past root 1, past root 2, future root, past participle, verbal noun, stem vowel, conjugation, polysyllabic?, transitive, irregular, English present, English past, English past participle
aithin,     aithn,      aithin,     nil,        aithn,      aitheanta,  aithint,    i, 2, true,     true,   false,      recognize,  recognized, recognized
aithris,    aithris,    nil,        nil,        nil,        aithriste,  aithris,    i, 2, true,     true,   false,      imitate,    imitated,   imitated
amharc,     amharc,     nil,        nil,        nil,        amharctha,  ?,          a, 1, false,    false,  false,      look,       looked,     looked
at,         at,         nil,        nil,        nil,        ata,        ?,          a, 1, false,    false,  false,      swell,      swelled,    swollen
athraigh,   athr,       athraigh,   athra,      athr,       athraithe,  athrú,      a, 2, false,    true,   false,      change,     changed,     changed
ceannaigh,  ceann,      nil,        nil,        nil,        ceannaithe, ceannach,   a, 2, true,     true,   false,      buy,        bought,     bought
cuir,       cuir,       nil,        nil,        nil,        curtha,     cur,        i, 1, false,    true,   false,      put,        put,        put
éist,       éist,       nil,        nil,        nil,        éiste,      éisteacht,  i, 1, false,    true,   false,      listen,     listened,   listened
faigh,      faigh,      fuair,      nil,        gheobh,     faigte,     fáil,       i, 2, false,    true,   false,      get/find,   got/found,  got(ten)/found
feic,       feic,       conaic,     nil,        nil,        feicthe,    feiceáil,   i, 1, false,    true,   false,      see,        saw,        seen
inis,       ins,        inis,       nil,        nil,        inste,      insint,     i, 2, true,     true,   false,      tell,       told,       told
mol,        mol,        nil,        nil,        nil,        molta,      moladh,     a, 1, false,    true,   false,      praise,     praised,    praised
ól,         ól,         nil,        nil,        nil,        ólta,       ól,         ó, 1, false,    true,   false,      drink,      drank,      drunk
rith,       rith,       nil,        nil,        nil,        rite,       rith,       i, 1, false,    false,  false,      run,        ran,        run
siúil,      siúl,       siúil,      siúl,       nil,        siúlta,     siúl,       ú, 1, false,    false,  false,      walk,       walked,     walked
tabhair,    tug,        tug,        nil,        tabhar,     tugtha,     tabhair,    u, 1, false,    true,   false,      give,       gave,       given
tar,        tag,        táinig,     tang,       tioc,       tagtha,     teacht,     a, 1, false,    false,  false,      come,       came,       come
téigh,      té,         cuaigh,     nil,        rach,       dulta,      dul,        é, 1, false,    false,  false,      go,         went,       gone
tosaigh,    tos,        tosaigh,    nil,        tos,        tosaithe,   tosú,       o, 2, true,     true,   false,      start,      started,    started
